2024-06-22 19:00:44,234 [Worker-70] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\user\OneDrive\Escritorio\LPII_CL2_BarazordaPablo\LPII_CL2_BarazordaPablo\src\test\resources
2024-06-22 19:00:53,918 [Worker-73] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-06-22 19:00:53,920 [Worker-73] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-06-22 19:00:53,921 [Worker-73] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-06-22 19:00:53,923 [Worker-73] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\user\OneDrive\Escritorio\LPII_CL2_BarazordaPablo\LPII_CL2_BarazordaPablo\src\test\resources
2024-06-22 19:00:59,153 [Worker-75] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-06-22 19:00:59,155 [Worker-75] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-06-22 19:00:59,156 [Worker-75] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-06-22 19:00:59,158 [Worker-75] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\user\OneDrive\Escritorio\LPII_CL2_BarazordaPablo\LPII_CL2_BarazordaPablo\src\test\resources
2024-06-22 19:01:15,132 [Worker-73] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-06-22 19:01:15,134 [Worker-73] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-06-22 19:01:15,136 [Worker-73] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-06-22 19:01:15,137 [Worker-73] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\user\OneDrive\Escritorio\LPII_CL2_BarazordaPablo\LPII_CL2_BarazordaPablo\src\test\resources
2024-06-22 19:01:33,021 [Worker-75] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-06-22 19:01:33,026 [Worker-75] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-06-22 19:01:33,027 [Worker-75] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-06-22 19:01:33,028 [Worker-75] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\user\OneDrive\Escritorio\LPII_CL2_BarazordaPablo\LPII_CL2_BarazordaPablo\src\test\resources
2024-06-22 19:04:49,568 [Worker-70] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-06-22 19:04:49,569 [Worker-70] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-06-22 19:04:49,573 [Worker-70] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-06-22 19:04:49,574 [Worker-70] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\user\OneDrive\Escritorio\LPII_CL2_BarazordaPablo\LPII_CL2_BarazordaPablo\src\test\resources
2024-06-22 19:06:21,527 [Worker-70] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-06-22 19:06:21,529 [Worker-70] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-06-22 19:06:21,530 [Worker-70] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-06-22 19:06:21,531 [Worker-70] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\user\OneDrive\Escritorio\LPII_CL2_BarazordaPablo\LPII_CL2_BarazordaPablo\src\test\resources
2024-06-22 19:11:13,670 [Worker-81] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-06-22 19:11:13,672 [Worker-81] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-06-22 19:11:13,673 [Worker-81] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-06-22 19:11:13,674 [Worker-81] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\user\OneDrive\Escritorio\LPII_CL2_BarazordaPablo\LPII_CL2_BarazordaPablo\src\test\resources
2024-06-22 19:11:51,586 [Worker-82] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-06-22 19:11:51,589 [Worker-82] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
